,BJD,flux,flux_err,Filt
200,2457792.4421880646,0.999814118255566,8.627778558876575e-05,WFC3_G141
201,2457792.4445145447,0.9995951413226926,8.617226770904838e-05,WFC3_G141
202,2457792.446841025,1.0002426267562619,8.666159811695934e-05,WFC3_G141
203,2457792.449167325,1.0004699384138187,8.510979728375463e-05,WFC3_G141
204,2457792.4514938053,1.000147395360914,8.53139102811404e-05,WFC3_G141
205,2457792.4538201,1.000422396879724,8.662135211519724e-05,WFC3_G141
206,2457792.45614658,1.0000143538660855,8.693194055680185e-05,WFC3_G141
207,2457792.45847288,0.9994593446815123,8.509381351525227e-05,WFC3_G141
208,2457792.4607991753,0.9997404990897754,8.607298622735285e-05,WFC3_G141
209,2457792.4631256554,1.0003460997066493,8.646977016625219e-05,WFC3_G141
210,2457792.4654521346,1.0000895327799229,8.696626518582022e-05,WFC3_G141
211,2457792.467778435,0.9994631920938987,8.477642638277044e-05,WFC3_G141
